method,seed,candidates_tested,candidates_accepted,selected_trial,qualification_cost,qualification_safe_rate,Kp1,Ki1,Kp2,Ki2
manual,1,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,1,11,5,13,0.34376952318723947,1.0,0.8568798497157243,0.008857877889080957,5.095059693024899,0.13392429055792912
bo,1,11,5,7,0.33823979655615644,1.0,2.9299632410195526,0.5004466662585982,3.9125472596256112,0.07200040905975322
safe_bo,1,11,1,1,0.35888571313696105,1.0,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,2,11,6,18,0.33903958224727726,1.0,0.9264029988870212,0.0034340179761400517,21.63284309662695,0.09679966321357089
bo,2,11,5,8,0.33726381901981306,1.0,5.259506077022356,0.0765261102772344,3.668275742829898,0.05733065020773124
safe_bo,2,11,1,1,0.35888571313696105,1.0,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,3,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,3,11,10,15,0.3426892738814941,1.0,0.8300504018718532,0.010533801302517002,16.273672421895057,0.0703415491567191
bo,3,8,8,6,0.3434550565133554,1.0,5.413903335433334,0.04856392962837575,2.6622266565293353,0.044167046785937435
safe_bo,3,11,11,8,0.3405480457666259,1.0,4.055616664833333,0.017319819508496658,2.429031380308371,0.06364692429924863
manual,4,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,4,10,10,29,0.3416061798060522,1.0,0.4024884713070289,0.004890365503471424,14.47745292075748,0.9899378168926097
bo,4,8,8,15,0.3394014275032205,1.0,0.9184963012852339,0.006929560156394315,0.7650635958322123,1.496728395789131
safe_bo,4,11,10,14,0.33385069272858126,1.0,5.040867931810788,0.06465544293555588,2.9927555681523628,0.07455145032384544
manual,5,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,5,11,11,27,0.34357614293798694,1.0,0.5337064939591771,0.0034737776407663176,20.261813969744534,0.014334476653353355
bo,5,7,7,13,0.34166535917344554,1.0,0.6587447834397648,0.004067591056703954,10.0287372339796,0.05157666158304649
safe_bo,5,11,10,29,0.33913552096290345,1.0,4.625835604910926,0.22468928730175394,1.7627894233322747,0.09020332975001265
manual,6,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,6,11,5,12,0.34742285338339596,1.0,0.4603883161559646,0.009752837658911885,2.9020702062705475,1.41965114460624
bo,6,9,7,12,0.34208103901175335,1.0,1.2019773494238224,0.013073835293619364,5.277542021763561,0.19480861191613597
safe_bo,6,11,9,29,0.34030825195469316,1.0,1.0146788726039566,0.00572365001274692,8.243181704899026,0.0431856741985655
manual,7,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,7,10,10,20,0.35140820432236747,1.0,2.683149318549775,0.4357253771741758,3.4462258886195736,0.007362827280776661
bo,7,8,8,12,0.3329242200242561,1.0,5.177265256477845,0.31708286188082896,3.0337384051188123,0.1112327196456515
safe_bo,7,11,11,9,0.33965089790458325,1.0,3.2857773322186206,0.01691474609771195,2.4984874597766344,0.07784804111000718
manual,8,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,8,11,4,7,0.3395776520808966,1.0,0.9465096741794302,0.005865222565658054,16.907560547452004,0.0624012971655155
bo,8,11,3,29,0.32560429974041727,1.0,4.909183416209788,0.16591553528024316,1.3783751483893811,1.474034542286567
safe_bo,8,11,3,23,0.33860882057440395,1.0,0.9666255185039225,0.007955711151351068,9.425871595453211,0.14481390077766407
manual,9,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,9,11,7,6,0.3442181794049064,1.0,1.2996287452804183,0.017515495021781003,4.060120914319578,0.07654305481254609
bo,9,8,6,18,0.3452186499818367,1.0,0.5558906320831736,0.004544507950624384,29.101008522499818,0.5682377774852271
safe_bo,9,11,2,21,0.33963967476766865,1.0,0.8850174358274338,0.0035455344343129805,16.37477057429817,0.01431415759428868
manual,10,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,10,10,7,16,0.33253097730066583,1.0,1.470714579883523,0.0073382940644032045,10.66901800201252,1.4398149221237775
bo,10,11,7,6,0.3426748389814319,1.0,7.549706167749185,0.13921554637124353,2.723618845587339,0.03927451625946487
safe_bo,10,11,2,28,0.33847229934031403,1.0,1.1923164936619706,0.003298330742892369,18.039127880986054,0.007497801855774029
manual,11,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,11,10,10,25,0.35171955614617983,1.0,3.1678482696275263,0.008875347243020639,3.5985288895440832,0.004688789340604977
bo,11,8,8,19,0.3411151620985794,1.0,0.4213133643964853,0.0038438018806350492,21.41765056808447,1.341382551182746
safe_bo,11,11,9,24,0.3367939070018579,1.0,3.535033744898908,0.03293047654424485,3.2286578064461806,0.07212406309695399
manual,12,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,12,10,9,11,0.3402475966047151,1.0,1.242104441522524,0.03000174799739728,0.7010275521093755,1.3998874657987663
bo,12,9,8,17,0.3428756997425536,1.0,0.4917124983229967,0.004587635681476451,15.525603173167857,0.09815992912873263
safe_bo,12,11,9,8,0.3338601132432121,1.0,5.046627263452984,0.16592658682029832,3.802677332112469,0.08202151578623221
manual,13,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,13,10,10,12,0.34526715629696997,1.0,0.7325676280224225,0.010440551988369799,11.227894913554843,0.0037583155128845438
bo,13,10,10,29,0.33999415570593516,1.0,1.129226906205099,0.006973290429411346,18.632479706599547,0.0035405286033745303
safe_bo,13,11,9,6,0.3429875984740222,1.0,3.082652820647736,0.04084643412270635,3.90219448646292,0.035195381218169536
manual,14,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,14,11,9,21,0.33975126751293966,1.0,1.8959520591749273,0.3626262808145356,3.6731892438277005,0.06392622874306489
bo,14,10,7,6,0.34653281110388,1.0,2.900381952733293,0.23794385844227184,2.647145561046535,0.03860067204182342
safe_bo,14,11,1,1,0.35888571313696105,1.0,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,15,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,15,10,10,8,0.3400525902033368,1.0,0.9978989422493767,0.005882903550719898,18.740716322699907,0.03715985278117349
bo,15,11,10,28,0.3286583227194015,1.0,4.232663061199382,0.2757242925237967,0.6351194543477063,1.4115422177914088
safe_bo,15,11,10,30,0.33832305700952087,1.0,0.731327355635001,0.0031557784242533067,9.659142656262203,0.19726358942162314
manual,16,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,16,11,6,24,0.3471795089308169,1.0,1.8617155626145898,0.6442341698403684,2.2842954578261407,0.06004586667195907
bo,16,11,7,6,0.34366612815644154,1.0,5.91340442280551,0.04664898809317686,2.658841322846754,0.04252048040989145
safe_bo,16,11,6,28,0.3406536431853123,1.0,0.7711226894561019,0.003764002054081678,12.653358813631026,0.016896524431373117
manual,17,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,17,11,6,6,0.3481205527952823,1.0,1.0265423739528599,0.00885480440448274,4.807819381346595,0.01685108173603252
bo,17,10,8,21,0.3329504673257775,1.0,1.3322170734301855,0.0034177497644082653,10.900816723247651,1.256412588081013
safe_bo,17,11,3,9,0.3364024880028863,1.0,3.6081893908137146,0.06232645946821887,3.8046338480914343,0.07165237300111812
manual,18,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,18,9,9,8,0.34393525105072065,1.0,1.7103281546177116,0.012833479878016685,2.8397141037164193,0.0648309797841924
bo,18,9,9,21,0.33947684026723796,1.0,0.5308515588148423,0.004109364101951855,17.79231968444353,1.197037402616046
safe_bo,18,11,9,16,0.34171572157792063,1.0,1.065171831393958,0.007011232720743807,5.811287982167369,0.07891376769595285
manual,19,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,19,11,6,8,0.3350069686614524,1.0,1.0187404216755622,0.0031919733456902224,10.082182280248908,1.1648196524817969
bo,19,10,7,6,0.3461341986277563,1.0,2.798129991023078,0.010540024828064124,2.9704340871905295,0.03626670016614298
safe_bo,19,11,1,1,0.35888571313696105,1.0,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,20,5,5,4,0.35550744368260634,1.0,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
random,20,10,10,10,0.35226824752042124,1.0,0.6717024147032734,0.005531400705144977,2.9244664936965057,0.04614338373514076
bo,20,7,7,6,0.34674689893165783,1.0,6.951253529588205,0.6025029153807152,2.677926902385741,0.03475540894066303
safe_bo,20,11,9,24,0.34271185646158486,1.0,0.970799778015975,0.0038710930655959023,7.130421953345572,0.009567947454273697
